id,Bestellnummer,Menge,EAN,Name,Variante,Kategorie,L3-EK (privat),Aufschlag Standard,Aufschlag Minimum,VK
CAT00082,"=""8102051""",,"=""4262403389304""",3x OXVA Xlim Top Fill Pod Tank Verdampfer,"=""1.2""",Pods,,25%,15%,
CAT00083,"=""8102052""",,"=""4262423776238""",3x OXVA Xlim Top Fill Pod Tank Verdampfer,"=""0.4""",Pods,,25%,15%,
CAT00084,"=""2401083""",,"=""4262423771943""",DotMod dotPod S Kit,"=""red""",Pods,,25%,15%,
CAT00085,"=""2401086""",,"=""4262423771967""",DotMod dotPod S Kit,"=""brown""",Pods,,25%,15%,
CAT00086,"=""1602131""",,"=""4262403388581""",2x Uwell Caliburn & Ironfist L Pod Tank Verdampfer - Ohne Coil,,Pods,,25%,15%,
CAT00087,"=""1201408""",,"=""4262423771349""",Geekvape Sonder Q Pod Kit,"=""gray""",Pods,,25%,15%,
CAT00088,"=""1201411""",,"=""4262423771370""",Geekvape Sonder Q Pod Kit,"=""white""",Pods,,25%,15%,
CAT00089,"=""1201409""",,"=""4262423771356""",Geekvape Sonder Q Pod Kit,"=""red""",Pods,,25%,15%,
CAT00090,"=""1201415""",,"=""4262423771417""",Geekvape Sonder Q Pod Kit,"=""sky-blue""",Pods,,25%,15%,
CAT00091,"=""1201410""",,"=""4262423771363""",Geekvape Sonder Q Pod Kit,"=""green""",Pods,,25%,15%,
CAT00092,"=""1201416""",,"=""4262423771424""",Geekvape Sonder Q Pod Kit,"=""red-blue""",Pods,,25%,15%,
CAT00093,"=""1201414""",,"=""4262423771400""",Geekvape Sonder Q Pod Kit,"=""rose-pink""",Pods,,25%,15%,
CAT00094,"=""1201412""",,"=""4262423771387""",Geekvape Sonder Q Pod Kit,"=""violet-purple""",Pods,,25%,15%,
CAT00095,"=""1201413""",,"=""4262423771394""",Geekvape Sonder Q Pod Kit,"=""green-purple""",Pods,,25%,15%,
CAT00096,"=""1201491""",,"=""4262445579145""",Geekvape Sonder Q Pod Kit,"=""starry-night""",Pods,,25%,15%,
CAT00097,"=""1201489""",,"=""4262445579169""",Geekvape Sonder Q Pod Kit,"=""mystic-nebula""",Pods,,25%,15%,
CAT00098,"=""1201490""",,"=""4262445579176""",Geekvape Sonder Q Pod Kit,"=""purple-mist""",Pods,,25%,15%,
